NA_ID,NEIGHB_NAME,MostCommonPropertyUse,Bedrooms,CurrentTotal,NetTaxes,LotSize,TotalDwellingUnits
6,Berkley Oaks Neighborhood Association,61 unit Apartment,0.0,8322000.0,152025.22,43986.0,61
6,Berkley Oaks Neighborhood Association,64 unit Apartment,0.0,5629000.0,102801.31,63545.87,64
6,Berkley Oaks Neighborhood Association,72 unit Apartment,0.0,5560000.0,101540.11,103019.0,72
6,Berkley Oaks Neighborhood Association,8 unit Apartment,0.0,1403000.0,25140.27,41229.67,16
6,Berkley Oaks Neighborhood Association,"Bank, s & l",0.0,850000.0,15448.55,84037.0,0
6,Berkley Oaks Neighborhood Association,C-2 vacant,0.0,180000.0,3290.13,46799.0,0
6,Berkley Oaks Neighborhood Association,"Car wash, self serv.",0.0,1093000.0,19890.21,64889.0,0
6,Berkley Oaks Neighborhood Association,Commercial exempt,0.0,85000.0,1465.52,578625.0,0
6,Berkley Oaks Neighborhood Association,Condominium,21.0,1577000.0,27591.01,21019.25,14
6,Berkley Oaks Neighborhood Association,Day care center,0.0,1267400.0,23077.97,44952.0,0
6,Berkley Oaks Neighborhood Association,Shop center neighbor,0.0,783000.0,14223.89,20982.0,0
6,Berkley Oaks Neighborhood Association,"Shop, 1 story sm.",0.0,388000.0,7003.89,21595.56,0
6,Berkley Oaks Neighborhood Association,Single family,601.0,51567400.0,870625.02,1824058.0,202
6,Berkley Oaks Neighborhood Association,Store 1 sty sm,0.0,1173300.0,21357.97,42731.86,0
6,Berkley Oaks Neighborhood Association,Vacant,0.0,0.0,0.0,420640.29,0
6,Berkley Oaks Neighborhood Association,Warehouse & office,0.0,4900000.0,89388.16,353271.4,0
6,Berkley Oaks Neighborhood Association,Warehouse 1 story,0.0,6529300.0,119081.11,402442.35,0
7,Bluff Acres Neighborhood Association,116 unit Apartment,0.0,16575000.0,302877.36,491522.0,116
7,Bluff Acres Neighborhood Association,12 unit Apartment,0.0,1312000.0,23893.19,12621.85,12
7,Bluff Acres Neighborhood Association,120 unit Apartment,0.0,9510000.0,173740.03,345512.0,120
7,Bluff Acres Neighborhood Association,128 unit Apartment,0.0,13150000.0,240273.64,355449.6,128
7,Bluff Acres Neighborhood Association,16 unit Apartment,0.0,1738000.0,31679.81,39000.0,16
7,Bluff Acres Neighborhood Association,168 unit Apartment,0.0,17795000.0,325177.1,533357.7,168
7,Bluff Acres Neighborhood Association,2 Unit,219.0,15196000.0,272328.54,528828.4,86
7,Bluff Acres Neighborhood Association,36 unit Apartment,0.0,7346000.0,134097.28,123963.0,72
7,Bluff Acres Neighborhood Association,4 unit Apartment,96.0,5985000.0,108010.65,154889.96,48
7,Bluff Acres Neighborhood Association,60 unit Apartment,0.0,6310000.0,115248.96,319378.0,60
7,Bluff Acres Neighborhood Association,64 unit Apartment,0.0,13349000.0,243822.91999999998,296779.0,128
7,Bluff Acres Neighborhood Association,68 unit Apartment,0.0,7407000.0,135300.42,117000.0,68
7,Bluff Acres Neighborhood Association,80 unit Apartment,0.0,11430000.0,208834.68,292496.0,80
7,Bluff Acres Neighborhood Association,C-1 parking lot,0.0,126500.0,2224.07,39000.0,0
7,Bluff Acres Neighborhood Association,C-2 parking lot,0.0,148000.0,2617.06,16150.0,0
7,Bluff Acres Neighborhood Association,C-2 vacant,0.0,1260400.0,22950.02,168863.0,0
7,Bluff Acres Neighborhood Association,Commercial exempt,0.0,509000.0,8686.68,111066.0,0
7,Bluff Acres Neighborhood Association,Condominium,526.0,37831000.0,626815.71,742235.0,323
7,Bluff Acres Neighborhood Association,Hotel,0.0,14955300.0,273183.58999999997,221069.0,0
7,Bluff Acres Neighborhood Association,Motel,0.0,17608500.0,321415.56,558579.0,0
7,Bluff Acres Neighborhood Association,Office - 1 story,0.0,493200.0,8926.78,23699.35,0
7,Bluff Acres Neighborhood Association,Office 2 sty or lg.,0.0,8535600.0,155576.9,444419.0,0
7,Bluff Acres Neighborhood Association,Pud parking lot,0.0,198500.0,3540.12,44608.0,0
7,Bluff Acres Neighborhood Association,Rest drive-in w/seat,0.0,1308300.0,23825.56,45025.0,0
7,Bluff Acres Neighborhood Association,Restaurant,0.0,3346100.0,60808.97,129053.0,0
7,Bluff Acres Neighborhood Association,"Restaurant, drive-in",0.0,1040300.0,18926.93,41010.0,0
7,Bluff Acres Neighborhood Association,Shop center neighbor,0.0,6661500.0,121497.53,239783.0,0
7,Bluff Acres Neighborhood Association,Single family,1572.0,158330200.0,2702499.9,5301801.14,496
7,Bluff Acres Neighborhood Association,"Station, 2 bay",0.0,691200.0,12545.92,43193.0,0
7,Bluff Acres Neighborhood Association,Store & office small,0.0,4414100.0,80594.82,38908.0,0
7,Bluff Acres Neighborhood Association,Store 1 sty sm,0.0,5766900.0,105145.62,157751.0,0
7,Bluff Acres Neighborhood Association,Vacant,0.0,0.0,0.0,3045077.54,0
8,Bram's Addition Neighborhood Association,2 Unit,79.0,4640600.0,82428.22,126461.51,34
8,Bram's Addition Neighborhood Association,24 unit Apartment,0.0,1760000.0,32081.95,39704.0,24
8,Bram's Addition Neighborhood Association,256 unit Apartment,0.0,14200000.0,259466.02,476807.76,256
8,Bram's Addition Neighborhood Association,292 unit Apartment,0.0,15300000.0,279572.34,404019.0,292
8,Bram's Addition Neighborhood Association,3 unit Apartment,15.0,664200.0,11548.0,28310.0,9
8,Bram's Addition Neighborhood Association,36 unit Apartment,0.0,2369000.0,43213.52,45488.0,36
8,Bram's Addition Neighborhood Association,4 unit Apartment,16.0,800000.0,14446.46,17355.0,8
8,Bram's Addition Neighborhood Association,5 unit Apartment,10.0,0.0,0.0,11616.0,5
8,Bram's Addition Neighborhood Association,88 unit Apartment,0.0,5350000.0,97701.62,124295.0,88
8,Bram's Addition Neighborhood Association,Apartment & store,0.0,788000.0,14227.13,22185.0,4
8,Bram's Addition Neighborhood Association,"Bank, s & l",0.0,975000.0,17733.35,83165.0,0
8,Bram's Addition Neighborhood Association,C-2 vacant,0.0,615000.0,11241.26,16657.0,0
8,Bram's Addition Neighborhood Association,Commercial exempt,0.0,26900.0,403.54,1431571.75,0
8,Bram's Addition Neighborhood Association,Condominium,6.0,295400.0,4566.889999999999,8707.0,2
8,Bram's Addition Neighborhood Association,"Garage, repair",0.0,920000.0,16728.03,53790.0,0
8,Bram's Addition Neighborhood Association,Gas & store,0.0,1145000.0,20840.68,22320.0,0
8,Bram's Addition Neighborhood Association,Other,0.0,0.0,0.0,210449.0,0
8,Bram's Addition Neighborhood Association,Rest drive-in w/seat,0.0,1080000.0,19652.59,35720.0,0
8,Bram's Addition Neighborhood Association,"Shop, 1 story sm.",0.0,620000.0,11156.35,23646.68,0
8,Bram's Addition Neighborhood Association,Single family,427.0,28143600.0,478504.22,916942.7,139
8,Bram's Addition Neighborhood Association,Store 1 sty sm,0.0,3298000.0,59689.78,71146.0,0
8,Bram's Addition Neighborhood Association,Vacant,0.0,414900.0,7583.77,487847.38,0
8,Bram's Addition Neighborhood Association,Warehouse & office,0.0,1585000.0,28883.21,74520.96,0
9,Brentwood Village Association,16 unit Apartment,0.0,1532000.0,27914.46,24328.19,16
9,Brentwood Village Association,2 Unit,15.0,1067200.0,18914.2,26436.0,6
9,Brentwood Village Association,22 unit Apartment,0.0,2133000.0,38899.81,30090.9,22
9,Brentwood Village Association,24 unit Apartment,0.0,1930000.0,35189.28,36607.5,24
9,Brentwood Village Association,3 unit Apartment,10.0,775600.0,14000.48,13000.0,6
9,Brentwood Village Association,4 unit Apartment,240.0,12705000.0,228687.01,302081.07,120
9,Brentwood Village Association,8 unit Apartment,0.0,14130900.0,256704.39,223338.69,144
9,Brentwood Village Association,Commercial exempt,0.0,0.0,0.0,50217.74,0
9,Brentwood Village Association,Funeral home,0.0,446000.0,8064.05,53520.0,0
9,Brentwood Village Association,Office - 1 story,0.0,662600.0,12023.17,15994.0,0
9,Brentwood Village Association,Office converted sm.,0.0,164000.0,2909.51,14459.0,0
9,Brentwood Village Association,Single family,660.0,69858400.0,1195519.11,2529141.2,216
9,Brentwood Village Association,Vacant,0.0,0.0,0.0,171044.39,0
10,Brittingham Apartments Resident's Association,Commercial exempt,0.0,2500.0,21.21,328718.0,0
11,Bridge-Lakepoint,108 unit Apartment,0.0,9880000.0,180503.07,139285.0,108
11,Bridge-Lakepoint,116 unit Apartment,0.0,8431000.0,154017.56,264000.0,116
11,Bridge-Lakepoint,18 unit Apartment,0.0,1640000.0,29888.53,89505.0,18
11,Bridge-Lakepoint,2 Unit,22.0,1106400.0,19214.43,44886.4,8
11,Bridge-Lakepoint,3 unit Apartment,6.0,309900.0,5576.35,8439.2,3
11,Bridge-Lakepoint,32 unit Apartment,0.0,3001000.0,54765.51,61293.0,32
11,Bridge-Lakepoint,4 unit Apartment,60.0,2665000.0,48095.08,65869.1,28
11,Bridge-Lakepoint,50 unit Apartment,0.0,3884000.0,70905.4,104000.0,50
11,Bridge-Lakepoint,8 unit Apartment,0.0,4483000.0,81325.26999999999,118516.0,56
11,Bridge-Lakepoint,Commercial exempt,0.0,59000.0,662.14,345801.5,0
11,Bridge-Lakepoint,Condominium,364.0,30797000.0,514437.69,456795.0,148
11,Bridge-Lakepoint,Condominium-notation,0.0,4870000.0,88839.83,49558.0,48
11,Bridge-Lakepoint,Office 2 sty or lg.,0.0,2825000.0,51548.51,34227.0,0
11,Bridge-Lakepoint,R-1 parking lot,0.0,305000.0,5486.78,40757.07,0
11,Bridge-Lakepoint,R-1 vacant,0.0,4700.0,85.91,3171.9,0
11,Bridge-Lakepoint,Restaurant,0.0,1040000.0,18921.44,44203.0,0
11,Bridge-Lakepoint,Shop center neighbor,0.0,5870000.0,107118.28,105531.0,0
11,Bridge-Lakepoint,Single family,194.0,19098000.0,326705.85,787936.34,64
11,Bridge-Lakepoint,Tavern,0.0,305000.0,5486.78,40492.0,0
11,Bridge-Lakepoint,Vacant,0.0,0.0,0.0,466598.39,0
12,Burke Heights Neighborhood Association,13 unit Apartment,0.0,580000.0,10513.36,38860.0,13
12,Burke Heights Neighborhood Association,2 Unit,140.0,8407000.0,149166.39,275582.9,52
12,Burke Heights Neighborhood Association,4 unit Apartment,16.0,1130000.0,20478.36,25158.0,8
12,Burke Heights Neighborhood Association,8 unit Apartment,0.0,8100000.0,147262.16,162576.5,72
12,Burke Heights Neighborhood Association,"Bank, s & l",0.0,1190000.0,21663.21,89856.0,0
12,Burke Heights Neighborhood Association,C-1 vacant,0.0,236600.0,4324.69,47236.0,0
12,Burke Heights Neighborhood Association,C-3l vacant,0.0,1229500.0,22473.370000000003,223501.0,0
12,Burke Heights Neighborhood Association,Commercial exempt,0.0,0.0,0.0,1349834.0,0
12,Burke Heights Neighborhood Association,Condominium,36.0,2129100.0,37178.11,54094.5,16
12,Burke Heights Neighborhood Association,Condominium -office,0.0,1823500.0,32801.86,39040.0,0
12,Burke Heights Neighborhood Association,Condominium-Warehouse,0.0,1918500.0,33505.08,75705.0,0
12,Burke Heights Neighborhood Association,"Garage, repair",0.0,985000.0,17827.989999999998,98759.0,0
12,Burke Heights Neighborhood Association,Gas & store,0.0,1130000.0,20566.52,43601.0,0
12,Burke Heights Neighborhood Association,M-1 vacant,0.0,107000.0,1955.8,38818.0,0
12,Burke Heights Neighborhood Association,Manufacturing,0.0,5329000.0,97229.63,968401.52,0
12,Burke Heights Neighborhood Association,Nursing home,0.0,2294000.0,41842.64,64192.0,0
12,Burke Heights Neighborhood Association,R-4 vacant,0.0,133400.0,2438.35,45781.0,0
12,Burke Heights Neighborhood Association,Shop & office,0.0,428500.0,7744.16,29812.0,0
12,Burke Heights Neighborhood Association,"Shop, 1 story sm.",0.0,1299600.0,23490.239999999998,69907.0,0
12,Burke Heights Neighborhood Association,Single family,292.0,25840200.0,436710.07,1294875.0,95
12,Burke Heights Neighborhood Association,Store 1 sty lg dept.,0.0,12020000.0,219618.97,992069.0,0
12,Burke Heights Neighborhood Association,Tavern,0.0,629000.0,11409.01,43124.0,0
12,Burke Heights Neighborhood Association,Vacant,0.0,225600.0,4123.61,2323408.5,0
12,Burke Heights Neighborhood Association,Warehouse & office,0.0,7800900.0,142059.54,475636.0,0
12,Burke Heights Neighborhood Association,Warehouse 1 story,0.0,1300000.0,23673.86,105312.0,0
12,Burke Heights Neighborhood Association,"Warehouse, mini type",0.0,7181900.0,131009.64,348963.0,0
12,Burke Heights Neighborhood Association,"Warehouse, small",0.0,535000.0,9690.84,33014.18,0
13,Burr Oaks Neighborhood Association,10 unit Apartment,0.0,713000.0,12944.39,23940.0,10
13,Burr Oaks Neighborhood Association,11 unit Apartment,0.0,880000.0,15996.9,25264.8,11
13,Burr Oaks Neighborhood Association,12 unit Apartment,0.0,1900000.0,34552.770000000004,48612.96,24
13,Burr Oaks Neighborhood Association,13 unit Apartment,0.0,1000000.0,18190.32,20255.4,13
13,Burr Oaks Neighborhood Association,2 Unit,18.0,1272100.0,21586.9,32844.24,8
13,Burr Oaks Neighborhood Association,30 unit Apartment,0.0,1100000.0,20018.16,41230.0,30
13,Burr Oaks Neighborhood Association,4 unit Apartment,622.0,29367500.0,528237.08,732129.14,292
13,Burr Oaks Neighborhood Association,50 unit Apartment,0.0,3805000.0,69461.4,62223.0,50
13,Burr Oaks Neighborhood Association,6 unit Apartment,26.0,1230000.0,22218.05,36808.2,18
13,Burr Oaks Neighborhood Association,64 unit Apartment,0.0,3735000.0,68181.91,100616.0,64
13,Burr Oaks Neighborhood Association,72 unit Apartment,0.0,7770000.0,141847.36,241679.31,144
13,Burr Oaks Neighborhood Association,8 unit Apartment,0.0,8404800.0,152569.03,221049.62,96
13,Burr Oaks Neighborhood Association,C-2 parking lot,0.0,52200.0,777.8199999999999,22327.0,0
13,Burr Oaks Neighborhood Association,C-2 vacant,0.0,267000.0,4792.200000000001,57490.0,0
13,Burr Oaks Neighborhood Association,C-3 vacant,0.0,30000.0,548.35,16800.0,0
13,Burr Oaks Neighborhood Association,Commercial Exempt Condo,0.0,0.0,0.0,52477.0,0
13,Burr Oaks Neighborhood Association,Commercial exempt,0.0,1733300.0,31461.66,1705913.5,3
13,Burr Oaks Neighborhood Association,Condominium,215.0,10584700.0,169435.78,321436.50708714966,94
13,Burr Oaks Neighborhood Association,Gar new car & repair,0.0,4216000.0,76973.85,151468.0,0
13,Burr Oaks Neighborhood Association,"Garage, frame sm.",0.0,405000.0,7314.62,86647.0,0
13,Burr Oaks Neighborhood Association,"Garage, repair",0.0,4204200.0,76581.86,545371.2,0
13,Burr Oaks Neighborhood Association,Gas & store,0.0,2250000.0,41038.39,40328.0,0
13,Burr Oaks Neighborhood Association,M-1 parking lot,0.0,760000.0,13803.49,168729.0,0
13,Burr Oaks Neighborhood Association,Manufacturing,0.0,7461300.0,136028.51,647935.0,0
13,Burr Oaks Neighborhood Association,Motel,0.0,470000.0,8502.73,92224.5,0
13,Burr Oaks Neighborhood Association,Office - 1 story,0.0,2074000.0,37733.23,138476.0,0
13,Burr Oaks Neighborhood Association,Office 2 sty or lg.,0.0,604000.0,10952.04,19482.0,0
13,Burr Oaks Neighborhood Association,Other,0.0,108300.0,1803.25,12022.56,0
13,Burr Oaks Neighborhood Association,R-4 parking lot,0.0,34000.0,533.31,11480.0,0
13,Burr Oaks Neighborhood Association,Rest drive-in w/seat,0.0,2075000.0,37663.34,76487.0,0
13,Burr Oaks Neighborhood Association,Restaurant,0.0,645000.0,11701.45,35505.0,0
13,Burr Oaks Neighborhood Association,Shop & house,0.0,146000.0,2580.51,12196.8,0
13,Burr Oaks Neighborhood Association,"Shop, 1 story sm.",0.0,300000.0,5395.39,25600.0,0
13,Burr Oaks Neighborhood Association,Single family,658.0,51689200.0,862571.99,1951203.07,233
13,Burr Oaks Neighborhood Association,"Station, 3+ bays",0.0,295000.0,5303.99,14352.0,0
13,Burr Oaks Neighborhood Association,Store & office small,0.0,788700.0,14328.07,19994.0,0
13,Burr Oaks Neighborhood Association,Store 1 sty sm,0.0,440000.0,7954.37,23501.1,0
13,Burr Oaks Neighborhood Association,Store-warehse 1 sty.,0.0,1140000.0,20749.29,36958.0,0
13,Burr Oaks Neighborhood Association,Vacant,0.0,119200.0,2178.79,1939849.7523327647,0
13,Burr Oaks Neighborhood Association,Warehouse & office,0.0,8568800.0,156007.47,512345.78,0
13,Burr Oaks Neighborhood Association,Warehouse 1 story,0.0,8282000.0,151029.61000000002,476643.0,0
13,Burr Oaks Neighborhood Association,"Warehouse, small",0.0,45400.0,741.69,7187.4,0
14,Capitol Neighborhoods,10 unit Apartment,0.0,5971000.0,108788.09,29801.0,40
14,Capitol Neighborhoods,11 unit Apartment,0.0,7843000.0,143005.37,34739.0,44
14,Capitol Neighborhoods,117 unit Apartment,0.0,25319000.0,462704.26,72310.0,117
14,Capitol Neighborhoods,12 unit Apartment,0.0,10166000.0,185378.11,34996.5,60
14,Capitol Neighborhoods,121 unit Apartment,0.0,38412000.0,701936.02,39157.0,242
14,Capitol Neighborhoods,13 unit Apartment,0.0,4896000.0,89138.76,31880.0,52
14,Capitol Neighborhoods,14 unit Apartment,0.0,12728000.0,232031.22,60800.75,98
14,Capitol Neighborhoods,148 unit Apartment,0.0,29670000.0,542233.85,26329.0,148
14,Capitol Neighborhoods,15 unit Apartment,0.0,3727000.0,67947.51999999999,9258.0,30
14,Capitol Neighborhoods,150 unit Apartment,0.0,20145000.0,368131.5,62813.52,150
14,Capitol Neighborhoods,160 unit Apartment,0.0,31335000.0,572667.49,17738.0,160
14,Capitol Neighborhoods,17 unit Apartment,0.0,6722000.0,122515.23000000001,36623.0,68
14,Capitol Neighborhoods,172 unit Apartment,0.0,41062000.0,750462.1,26574.0,172
14,Capitol Neighborhoods,179 unit Apartment,0.0,40985000.0,749054.66,37761.0,179
14,Capitol Neighborhoods,18 unit Apartment,0.0,6903000.0,125823.62999999999,28050.0,72
14,Capitol Neighborhoods,19 unit Apartment,0.0,2318000.0,42281.33,8712.0,19
14,Capitol Neighborhoods,2 Unit,1220.0,94246700.0,1700563.94,833862.2,422
14,Capitol Neighborhoods,20 unit Apartment,0.0,6456000.0,117829.47,23958.0,40
14,Capitol Neighborhoods,206 unit Apartment,0.0,12660000.0,231317.19,34701.0,206
14,Capitol Neighborhoods,21 unit Apartment,0.0,11015000.0,201072.82,34881.0,63
14,Capitol Neighborhoods,22 unit Apartment,0.0,4597000.0,83849.79999999999,16335.0,44
14,Capitol Neighborhoods,23 unit Apartment,0.0,6954000.0,126843.98,28710.0,69
14,Capitol Neighborhoods,24 unit Apartment,0.0,17883000.0,326168.56,75473.0,192
14,Capitol Neighborhoods,25 unit Apartment,0.0,12145000.0,221639.33000000002,42191.0,100
